stage,feature_count,mean_accuracy,std_accuracy
Raw official features,10,0.7972889238362633,0.01854533374176877
+ Cabin features,13,0.812473328711804,0.014195929340593423
+ Group features,17,0.8120025933565456,0.01220607777762255
+ Spend summaries,25,0.8112654957325006,0.01501040177252243
+ Rule-consistency,27,0.8096565611950555,0.015845298125138126
