model_family,baseline_audit_accuracy,winner_audit_accuracy,audit_delta,search_method
LightGBM,0.8122627401357414,0.8153686874496722,0.003105947313930768,Random search with independent audit seeds
CatBoost,0.8132975249323217,0.815598822385787,0.002301297453465301,Local parameter sweep with audit folds
