experiment,n_features,cv_accuracy_mean,cv_accuracy_std
all_features,28,0.804900704146597,0.014415655249376448
without_expense_features,22,0.7435856883742691,0.008937170943698005
without_cabin_features,17,0.7909820135244321,0.006884225123849954
without_route_features,22,0.8072013398703406,0.010321480300726969
without_cryo_vip_features,24,0.8034055920131868,0.011745900157433601
